id,object_id,object_name,travel_date,trip_type,polarity,Headline,raw_title,label,Snippet from review,review_id,label and value,Category,value,label_with_polarity,,0.1,impression 1
4024,6,Avani+ Palm View Dubai Hotel & Suites,2023-12,BUSINESS,neutral,Staff Interaction and Support,Educational Assistance from Staff,4.5,they teach us how to use appliances,4207,welcome & valued 5,welcome & valued ,0,NEUT,,0.2,impression 2 
3599,6,Avani+ Palm View Dubai Hotel & Suites,2022-07,SOLO,positive,Comprehensive Staff Recognition and Exceptional Service,Positive Staff Attributes,4.3,"nice, friendly team",4785,welcome & valued 3 ,welcome & valued ,1,POS,,0.3,impression 3 
3600,6,Avani+ Palm View Dubai Hotel & Suites,2022-06,FAMILY,positive,Comprehensive Staff Recognition and Exceptional Service,Positive Staff Attributes,4.3,concierge shefiq allways smiling,4799,welcome & valued 3 ,welcome & valued ,1,POS,,0.4,impression 4 
4025,6,Avani+ Palm View Dubai Hotel & Suites,2022-11,FRIENDS,neutral,Staff Interaction and Support,Direct Communication with Staff,4.5,i told them directly about this problems,4659,welcome & valued 5 ,welcome & valued ,0,NEUT,,0.5,impression 5 
4026,6,Avani+ Palm View Dubai Hotel & Suites,2022-09,FRIENDS,neutral,General Comfort,General Comfort,4.5,comforting,4726,welcome & valued 5 ,welcome & valued ,0,NEUT,,0.6,impression 6
1358,6,Avani+ Palm View Dubai Hotel & Suites,2023-01,FAMILY,positive,"Staff, Management, and Customer Service Excellence",Staff and Management Praise,0.4,avani knows,4130,impression 4 ,impression ,1,POS,,0.7,impression 7 
1359,6,Avani+ Palm View Dubai Hotel & Suites,2023-09,SOLO,positive,"Staff, Management, and Customer Service Excellence",Staff and Management Praise,0.4,their work,4296,impression 4 ,impression ,1,POS,,0.8,impression 8 
1360,6,Avani+ Palm View Dubai Hotel & Suites,2023-05,FAMILY,positive,"Staff, Management, and Customer Service Excellence",Staff and Management Praise,0.4,all the stuff is nice,4298,impression 4 ,impression ,1,POS,,0.9,impression 9 
1361,6,Avani+ Palm View Dubai Hotel & Suites,2023-08,FRIENDS,positive,"Staff, Management, and Customer Service Excellence",Staff and Management Praise,0.4,gobin and guillie,4344,impression 4 ,impression ,1,POS,,1.1,safety 1
1362,6,Avani+ Palm View Dubai Hotel & Suites,2023-08,NONE,positive,"Staff, Management, and Customer Service Excellence",Staff and Management Praise,0.4,hop they stay in the same level,4362,impression 4 ,impression ,1,POS,,1.2,safety 2 
1348,6,Avani+ Palm View Dubai Hotel & Suites,2023-03,NONE,positive,"Accommodation, Stay Details, and Preferences",Family and Group Accommodations,0.4,we were a family of 8 and had booked a 3 bedroom suite apartment,4505,impression 4 ,impression ,1,POS,,1.3,safety 3 
1349,6,Avani+ Palm View Dubai Hotel & Suites,2023-12,NONE,positive,"Accommodation, Stay Details, and Preferences",Family and Group Accommodations,0.4,2x 2 bedroom suites,4186,impression 4 ,impression ,1,POS,,1.4,safety 4 
1350,6,Avani+ Palm View Dubai Hotel & Suites,2023-03,NONE,positive,"Accommodation, Stay Details, and Preferences",Family and Group Accommodations,0.4,perfect for small groups,4515,impression 4 ,impression ,1,POS,,1.5,safety 5 
1341,6,Avani+ Palm View Dubai Hotel & Suites,2023-01,BUSINESS,positive,"Accommodation, Stay Details, and Preferences",Long-Term Stay and Repeat Visits,0.4,i have been staying in avani palm view for than 6 months,4603,impression 4 ,impression ,1,POS,,1.6,safety 6
1342,6,Avani+ Palm View Dubai Hotel & Suites,2023-02,BUSINESS,positive,"Accommodation, Stay Details, and Preferences",Long-Term Stay and Repeat Visits,0.4,staying here for next 16 days,4587,impression 4 ,impression ,1,POS,,1.7,safety 7 
1343,6,Avani+ Palm View Dubai Hotel & Suites,2024-02,FAMILY,positive,"Accommodation, Stay Details, and Preferences",Long-Term Stay and Repeat Visits,0.4,it's my second time in a row,4132,impression 4 ,impression ,1,POS,,1.8,safety 8 
1344,6,Avani+ Palm View Dubai Hotel & Suites,2024-01,FAMILY,positive,"Accommodation, Stay Details, and Preferences",Long-Term Stay and Repeat Visits,0.4,happy to return again if travel with family,4179,impression 4 ,impression ,1,POS,,1.9,safety 9 
1345,6,Avani+ Palm View Dubai Hotel & Suites,2023-10,BUSINESS,positive,"Accommodation, Stay Details, and Preferences",Long-Term Stay and Repeat Visits,0.4,it’s a hotel/apartment good for long term stay,4273,impression 4 ,impression ,1,POS,,2.1,well-being 1
1363,6,Avani+ Palm View Dubai Hotel & Suites,2024-01,NONE,positive,"Recommendations, Local Knowledge, and Assistance",Specific Hotel Recommendations,0.4,very pleasantly surprised by this property,4131,impression 4 ,impression ,1,POS,,2.2,well-being 2 
1351,6,Avani+ Palm View Dubai Hotel & Suites,2023-01,FAMILY,positive,"Amenities, Services, and Facilities",Hotel Services and Amenities,0.4,"offering value, luxury comfort, excellent service and location",4130,impression 4 ,impression ,1,POS,,2.3,well-being 3 
1352,6,Avani+ Palm View Dubai Hotel & Suites,2023-11,BUSINESS,positive,"Amenities, Services, and Facilities",Hotel Services and Amenities,0.4,very prepared,4220,impression 4 ,impression ,1,POS,,2.4,well-being 4 
1353,6,Avani+ Palm View Dubai Hotel & Suites,2023-11,BUSINESS,positive,"Amenities, Services, and Facilities",Hotel Services and Amenities,0.4,for the suggestions for a better party experience,4220,impression 4 ,impression ,1,POS,,2.5,well-being 5 
1354,6,Avani+ Palm View Dubai Hotel & Suites,2023-03,NONE,positive,"Amenities, Services, and Facilities",Hotel Services and Amenities,0.4,large tv and lounge area,4513,impression 4 ,impression ,1,POS,,2.6,well-being 6
1355,6,Avani+ Palm View Dubai Hotel & Suites,2023-10,FAMILY,positive,"Amenities, Services, and Facilities",Hotel Services and Amenities,0.4,"pool itself, hotel & stay made up for it",4258,impression 4 ,impression ,1,POS,,2.7,well-being 7 
5396,6,Avani+ Palm View Dubai Hotel & Suites,2022-03,NONE,very positive,Soundproofing Effectiveness Despite Road Proximity,Soundproofing Effectiveness Despite Road Proximity,8.1,windows faced the road but they were soundproof and it did not disturb us to sleep,4890,sound 1,sound,0,V POS,,2.8,well-being 8 
4022,6,Avani+ Palm View Dubai Hotel & Suites,2023-02,BUSINESS,neutral,Staff Interaction and Support,Positive Staff Behavior,4.5,well behaved,4587,welcome & valued 5 ,welcome & valued ,0,NEUT,,2.9,well-being 9 
4023,6,Avani+ Palm View Dubai Hotel & Suites,2022-02,FAMILY,neutral,Staff Interaction and Support,Positive Staff Behavior,4.5,very nice staff,4912,welcome & valued 5 ,welcome & valued ,0,NEUT,,3.1,sexual 1
1383,6,Avani+ Palm View Dubai Hotel & Suites,2023-04,BUSINESS,positive,"General Satisfaction, Positive Feedback, and Intent to Return",Gratitude and Thanks,0.4,thank you,4493,impression 4 ,impression ,1,POS,,3.2,sexual 2 
52,6,Avani+ Palm View Dubai Hotel & Suites,2023-03,FRIENDS,very positive,"Exceptional Experiences, High Praise, and Recommendations",High Praise for Hotel Quality and Experience,0.1,hotel is very nice to stay,4542,impression 1,impression,0,V POS,,3.3,sexual 3 
29,6,Avani+ Palm View Dubai Hotel & Suites,2022-09,BUSINESS,very positive,"Exceptional Experiences, High Praise, and Recommendations",Exceptional Hotel Experiences,0.1,great too,4596,impression 1,impression,0,V POS,,3.4,sexual 4 
30,6,Avani+ Palm View Dubai Hotel & Suites,2023-02,FRIENDS,very positive,"Exceptional Experiences, High Praise, and Recommendations",Exceptional Hotel Experiences,0.1,made our stay very special,4578,impression 1,impression,0,V POS,,3.5,sexual 5 
32,6,Avani+ Palm View Dubai Hotel & Suites,2023-01,BUSINESS,very positive,"Exceptional Experiences, High Praise, and Recommendations",Exceptional Hotel Experiences,0.1,this is the best hotel i have ever stayed,4603,impression 1,impression,0,V POS,,3.6,sexual 6
33,6,Avani+ Palm View Dubai Hotel & Suites,2023-02,BUSINESS,very positive,"Exceptional Experiences, High Praise, and Recommendations",Exceptional Hotel Experiences,0.1,"this, i think my 7th visit, was even better than previous ones",4586,impression 1,impression,0,V POS,,3.7,sexual 7 
1372,6,Avani+ Palm View Dubai Hotel & Suites,2022-01,COUPLES,positive,"Accommodation, Stay Details, and Preferences",Hotel Description and Type,0.4,it’s a hotel with residences,4939,impression 4 ,impression ,1,POS,,3.8,sexual 8 
1373,6,Avani+ Palm View Dubai Hotel & Suites,2022-01,COUPLES,positive,"Accommodation, Stay Details, and Preferences",Hotel Description and Type,0.4,we rent rooms in this hotel quite often,4940,impression 4 ,impression ,1,POS,,3.9,sexual 9 
1364,6,Avani+ Palm View Dubai Hotel & Suites,2024-01,NONE,positive,"Recommendations, Local Knowledge, and Assistance",Specific Hotel Recommendations,0.4,hotel is good choice for carefree stay,4131,impression 4 ,impression ,1,POS,,4.1,welcome & valued 1
1365,6,Avani+ Palm View Dubai Hotel & Suites,2024-01,NONE,positive,"Recommendations, Local Knowledge, and Assistance",Specific Hotel Recommendations,0.4,comfortable carefree stay,4131,impression 4 ,impression ,1,POS,,4.2,welcome & valued 2 
1366,6,Avani+ Palm View Dubai Hotel & Suites,2023-11,BUSINESS,positive,"Recommendations, Local Knowledge, and Assistance",Specific Hotel Recommendations,0.4,it was a very nice hotel for my business trip,4226,impression 4 ,impression ,1,POS,,4.3,welcome & valued 3 
1367,6,Avani+ Palm View Dubai Hotel & Suites,2023-11,BUSINESS,positive,"Recommendations, Local Knowledge, and Assistance",Specific Hotel Recommendations,0.4,can't fault this hotel,4238,impression 4 ,impression ,1,POS,,4.4,welcome & valued 4 
1368,6,Avani+ Palm View Dubai Hotel & Suites,2023-11,BUSINESS,positive,"Recommendations, Local Knowledge, and Assistance",Specific Hotel Recommendations,0.4,all what we need,4247,impression 4 ,impression ,1,POS,,4.5,welcome & valued 5 
1369,6,Avani+ Palm View Dubai Hotel & Suites,2023-09,COUPLES,positive,"Recommendations, Local Knowledge, and Assistance",Local Knowledge and Assistance,0.4,you can ask him about anything around dubai,4304,impression 4 ,impression ,1,POS,,4.6,welcome & valued 6
1370,6,Avani+ Palm View Dubai Hotel & Suites,2023-09,COUPLES,positive,"Recommendations, Local Knowledge, and Assistance",Local Knowledge and Assistance,0.4,asked him about anything around dubai,4304,impression 4 ,impression ,1,POS,,4.7,welcome & valued 7 
1371,6,Avani+ Palm View Dubai Hotel & Suites,2023-06,COUPLES,positive,"Recommendations, Local Knowledge, and Assistance",Local Knowledge and Assistance,0.4,"if you want to book an experience such as dune bashing or abu dhabi, go and see the rayna travel representative qasim butt how can be found in the hotel lobby area",4425,impression 4 ,impression ,1,POS,,4.8,welcome & valued 8 
1378,6,Avani+ Palm View Dubai Hotel & Suites,2023-09,FAMILY,positive,Operational Excellence in Housekeeping and Maintenance,Operational Excellence,0.4,everything is in accordance with what you read in hotel information and reservation sites,4320,impression 4 ,impression ,1,POS,,4.9,welcome & valued 9 
1379,6,Avani+ Palm View Dubai Hotel & Suites,2023-08,NONE,positive,Operational Excellence in Housekeeping and Maintenance,Operational Excellence,0.4,third party services for deliveries/pickups,4329,impression 4 ,impression ,1,POS,,5.1,fun & stress-free 1
1380,6,Avani+ Palm View Dubai Hotel & Suites,2023-09,FAMILY,positive,Operational Excellence in Housekeeping and Maintenance,Operational Excellence,0.4,avani + was / the place,4311,impression 4 ,impression ,1,POS,,5.2,fun & stress-free 2 
1381,6,Avani+ Palm View Dubai Hotel & Suites,2023-10,BUSINESS,positive,Operational Excellence in Housekeeping and Maintenance,Operational Excellence,0.4,arrangements,4280,impression 4 ,impression ,1,POS,,5.3,fun & stress-free 3 
3399,6,Avani+ Palm View Dubai Hotel & Suites,2023-10,NONE,positive,"Professionalism, Competence, and Effective Communication",Professionalism and Competence,4.3,all the staff are professionally friendly,4254,welcome & valued 3 ,welcome & valued ,1,POS,,5.4,fun & stress-free 4 
4027,6,Avani+ Palm View Dubai Hotel & Suites,2022-06,FAMILY,neutral,Staff Interaction and Support,Navigation and Guidance Assistance,4.5,"when u try to reach their location, contact the hotel directly, as they can guide you better",4808,welcome & valued 5 ,welcome & valued ,0,NEUT,,5.5,fun & stress-free 5 
5397,6,Avani+ Palm View Dubai Hotel & Suites,2022-06,NONE,very positive,Efficient and Unobtrusive Air Conditioning for General Room Comfort,Efficient and Unobtrusive Air Conditioning,8.2,air conditioning was working perfectly and silently,4800,sound 2 ,sound ,0,V POS,,5.6,fun & stress-free 6
5398,6,Avani+ Palm View Dubai Hotel & Suites,2023-07,COUPLES,very positive,Efficient and Unobtrusive Air Conditioning for General Room Comfort,General Room Comfort,8.2,clean and quiet,4373,sound 2 ,sound ,0,V POS,,5.7,fun & stress-free 7 
4033,6,Avani+ Palm View Dubai Hotel & Suites,2023-06,COUPLES,negative,Staff Dynamics and Their Impact on Business Success,Staff Hesitancy and Inattentiveness,4.6,concierge was hesitant to assist us during several visits,4408,welcome & valued 6,welcome & valued,-1,NEG,,5.8,fun & stress-free 8 
1393,6,Avani+ Palm View Dubai Hotel & Suites,2021-10,FAMILY,positive,"Accommodation, Stay Details, and Preferences",Stay Duration & Frequency,0.4,fifth time to dubai,4979,impression 4 ,impression ,1,POS,,5.9,fun & stress-free 9 
72,6,Avani+ Palm View Dubai Hotel & Suites,2024-02,BUSINESS,very positive,"Appreciation for Staff, Services, and Amenities",Positive Feedback on Specific Hotel Aspects,0.1,experience have been great,4133,impression 1,impression,0,V POS,,6.1,welcome & valued 1
73,6,Avani+ Palm View Dubai Hotel & Suites,2024-02,BUSINESS,very positive,"Appreciation for Staff, Services, and Amenities",Positive Feedback on Specific Hotel Aspects,0.1,from front office to room and house keeping,4133,impression 1,impression,0,V POS,,6.2,welcome & valued 2 
74,6,Avani+ Palm View Dubai Hotel & Suites,2024-02,BUSINESS,very positive,"Appreciation for Staff, Services, and Amenities",Positive Feedback on Specific Hotel Aspects,0.1,this hotel is great!,4135,impression 1,impression,0,V POS,,6.3,welcome & valued 3 
