id,object_id,object_name,date,trip_type,polarity,Headline,label,Snippet,review_id,not_optimized_title,Year,Category,value,,,0.1,impressions
80219,11,George Washington University,2013-07-01,College Senior,negative,Operational Inefficiencies,10.7,"office, however, is too busy",4072,Operational Inefficiencies,2013,comfort & clean,-1,,,0.2,impressions
83198,11,George Washington University,2012-08-01,College Sophomore,negative,Campus Life and Services,5.7,vern sucks,4371,Campus Life and Social Scene,2012,fun & stress-free,-1,,,0.3,impressions
83199,11,George Washington University,2012-07-01,Recent Alumnus,negative,Campus Life and Services,5.7,huge gap in on campus activities,4406,Campus Life and Social Scene,2012,fun & stress-free,-1,,,0.4,impressions
87488,11,George Washington University,2013-12-01,College Freshman,positive,Location and Accessibility: Proximity to Attractions and Transportation,5.3,it's d.c. so there's lots of options,3819,City Integration and Accessibility,2013,fun & stress-free,1,,,0.5,impressions
87489,11,George Washington University,2013-12-01,College Freshman,positive,Location and Accessibility: Proximity to Attractions and Transportation,5.3,public transportation (especially the metro) is cheap and easy to navigate,3835,City Integration and Accessibility,2013,fun & stress-free,1,,,0.6,impressions
87490,11,George Washington University,2011-07-01,College Sophomore,positive,Location and Accessibility: Proximity to Attractions and Transportation,5.3,foggy bottom campus is embedded within the city,4654,City Integration and Accessibility,2011,fun & stress-free,1,,,0.7,impressions
87508,11,George Washington University,2013-12-01,College Sophomore,positive,"Campus and City Life: Accessibility, Social Opportunities, and Academic Engagement",5.3,teachers are very well versed in their trade,3838,Educational Experience and Campus Facilities,2013,fun & stress-free,1,,,0.8,impressions
87509,11,George Washington University,2013-12-01,College Sophomore,positive,"Campus and City Life: Accessibility, Social Opportunities, and Academic Engagement",5.3,there really is someone at gw for everyone,3849,Educational Experience and Campus Facilities,2013,fun & stress-free,1,,,0.9,impressions
87521,11,George Washington University,2013-12-01,College Sophomore,positive,"Campus and City Life: Accessibility, Social Opportunities, and Academic Engagement",5.3,campus life is extremely pleasant,3847,Campus Life and Inclusivity,2013,fun & stress-free,1,,,1.1,safety
87522,11,George Washington University,2013-12-01,College Sophomore,positive,"Campus and City Life: Accessibility, Social Opportunities, and Academic Engagement",5.3,there really is someone at gw for everyone,3849,Campus Life and Inclusivity,2013,fun & stress-free,1,,,1.2,safety
87523,11,George Washington University,2013-11-01,College Freshman,positive,"Campus and City Life: Accessibility, Social Opportunities, and Academic Engagement",5.3,you can find something for any mood you're in,3904,Campus Life and Inclusivity,2013,fun & stress-free,1,,,1.3,safety
87524,11,George Washington University,2013-11-01,College Junior,positive,"Campus and City Life: Accessibility, Social Opportunities, and Academic Engagement",5.3,it's great living on campus,3921,Campus Life and Inclusivity,2013,fun & stress-free,1,,,1.4,safety
87525,11,George Washington University,2013-11-01,College Freshman,positive,"Campus and City Life: Accessibility, Social Opportunities, and Academic Engagement",5.3,city of washington is your campus,3938,Campus Life and Inclusivity,2013,fun & stress-free,1,,,1.5,safety
87538,11,George Washington University,2016-07-01,College Freshman,positive,"Campus and City Life: Accessibility, Social Opportunities, and Academic Engagement",5.3,lectures are intellectually stimulating,2994,Engaging and Rewarding Academic Experience,2016,fun & stress-free,1,,,1.6,safety
87564,11,George Washington University,2018-02-01,Freshman,positive,"Social, Nightlife, and Extracurricular Engagement",5.3,hosted by the frats,2901,Active Social Scene and Extracurriculars,2018,fun & stress-free,1,,,1.7,safety
87565,11,George Washington University,2017-05-01,Alum,positive,"Social, Nightlife, and Extracurricular Engagement",5.3,work/study position at one of the smithsonians,2934,Active Social Scene and Extracurriculars,2017,fun & stress-free,1,,,1.8,safety
87561,11,George Washington University,2018-02-01,Freshman,positive,Political and International Engagement,5.3,"if you're into politics, then this is the school for you",2902,Strong Focus on Politics and International Affairs,2018,fun & stress-free,1,,,1.9,safety
87562,11,George Washington University,2017-07-01,Sophomore,positive,Political and International Engagement,5.3,"if you are interested in international affairs, politics, or government, gwu will feel like home",2931,Strong Focus on Politics and International Affairs,2017,fun & stress-free,1,,,2.1,well-being
87573,11,George Washington University,2017-03-01,Alum,positive,"Sports and Athletics: Facilities, Enthusiasm, and Participation",5.3,main sport is basketball,2947,Basketball and Sports Enthusiasm,2017,fun & stress-free,1,,,2.2,well-being
87582,11,George Washington University,2017-08-01,Alum,positive,Diverse Academic Programs,5.3,programs are well developed,2925,Diverse Academic Programs,2017,fun & stress-free,1,,,2.3,well-being
87588,11,George Washington University,2014-05-01,College Junior,positive,Housing and Living Conditions,5.3,off campus is great if you can find a reasonable price,3566,Off-Campus Living Options,2014,fun & stress-free,1,,,2.4,well-being
87603,11,George Washington University,2013-04-01,Recent Alumnus,positive,"Campus and City Life: Accessibility, Social Opportunities, and Academic Engagement",5.3,as i enjoy a city environment,4156,Vibrant City Life and Proximity to Attractions,2013,fun & stress-free,1,,,2.5,well-being
87608,11,George Washington University,2013-10-01,College Junior,positive,"Social, Nightlife, and Extracurricular Engagement",5.3,nightlife at george washington is pretty fun,4004,Social and Nightlife Activities,2013,fun & stress-free,1,,,2.6,well-being
87621,11,George Washington University,2013-07-01,College Sophomore,positive,"Social, Nightlife, and Extracurricular Engagement",5.3,parties almost every weekend (decent),4080,Social and Nightlife Activities,2013,fun & stress-free,1,,,2.7,well-being
87622,11,George Washington University,2013-05-01,College Sophomore,positive,"Social, Nightlife, and Extracurricular Engagement",5.3,there are plenty of frat parties,4116,Social and Nightlife Activities,2013,fun & stress-free,1,,,2.8,well-being
87623,11,George Washington University,2013-05-01,College Sophomore,positive,"Social, Nightlife, and Extracurricular Engagement",5.3,its hard to be bored,4119,Social and Nightlife Activities,2013,fun & stress-free,1,,,2.9,well-being
87624,11,George Washington University,2013-05-01,College Sophomore,positive,"Social, Nightlife, and Extracurricular Engagement",5.3,go shopping in georgetown,4119,Social and Nightlife Activities,2013,fun & stress-free,1,,,3.1,sexual
87625,11,George Washington University,2013-04-01,College Freshman,positive,"Social, Nightlife, and Extracurricular Engagement",5.3,there is always something to do on and off campus,4145,Social and Nightlife Activities,2013,fun & stress-free,1,,,3.2,sexual
87635,11,George Washington University,2013-08-01,College Sophomore,positive,Unique Experiences: Study Abroad and Cultural Opportunities,5.3,easily accessible,4023,Cultural and Recreational Opportunities,2013,fun & stress-free,1,,,3.3,sexual
87652,11,George Washington University,2014-06-01,College Sophomore,positive,Proximity to Monuments and Museums,5.3,it's always a good time going to the monuments or any of the free museums,3500,Proximity to Monuments and Museums,2014,fun & stress-free,1,,,3.4,sexual
87653,11,George Washington University,2018-06-01,Sophomore,positive,Proximity to Monuments and Museums,5.3,monuments are a 15 minute walk away,2878,Proximity to Monuments and Museums,2018,fun & stress-free,1,,,3.5,sexual
87648,11,George Washington University,2014-06-01,College Sophomore,positive,"Social, Nightlife, and Extracurricular Engagement",5.3,nightlife can be very fun,3500,Vibrant Nightlife and Entertainment,2014,fun & stress-free,1,,,3.6,sexual
87649,11,George Washington University,2014-06-01,College Sophomore,positive,"Social, Nightlife, and Extracurricular Engagement",5.3,nine thirty club is definitely a must go to,3500,Vibrant Nightlife and Entertainment,2014,fun & stress-free,1,,,3.7,sexual
87645,11,George Washington University,2013-04-01,College Freshman,positive,Unique Experiences: Study Abroad and Cultural Opportunities,5.3,"tons of free activities to participate in (the museums, zoo, concerts, etc)",4134,Cultural and Recreational Opportunities,2013,fun & stress-free,1,,,3.8,sexual
87646,11,George Washington University,2010-10-01,College Freshman,positive,Unique Experiences: Study Abroad and Cultural Opportunities,5.3,there are alot of things you can do,4720,Cultural and Recreational Opportunities,2010,fun & stress-free,1,,,3.9,sexual
87647,11,George Washington University,2010-10-01,College Sophomore,positive,Unique Experiences: Study Abroad and Cultural Opportunities,5.3,it's not hard to get away with small parties,4721,Cultural and Recreational Opportunities,2010,fun & stress-free,1,,,4.1,belonging & welcomed
87672,11,George Washington University,2018-08-01,Sophomore,positive,"Campus and City Life: Accessibility, Social Opportunities, and Academic Engagement",5.3,foggy bottom campus is within walking distance of almost every major area of downtown d.c,2863,Convenient Location and Accessibility,2018,fun & stress-free,1,,,4.2,belonging & welcomed
83811,11,George Washington University,2017-11-01,Graduate Student,neutral,Campus Life and Student Experiences,0.5,when i need to go,2921,Academic and Campus Life Experience,2017,impressions,0,,,4.3,belonging & welcomed
87691,11,George Washington University,2014-05-01,College Junior,positive,"Sports and Athletics: Facilities, Enthusiasm, and Participation",5.3,i love the athletics on campus,3536,Athletics and Sports Enthusiasm,2014,fun & stress-free,1,,,4.4,belonging & welcomed
87700,11,George Washington University,2014-05-01,College Freshman,positive,Unique Experiences: Study Abroad and Cultural Opportunities,5.3,it is such a different experience,3544,Unique Experiences and Study Abroad,2014,fun & stress-free,1,,,4.5,belonging & welcomed
87704,11,George Washington University,2018-07-01,Graduate Student,positive,Educational and Administrative Processes,5.3,graduate admissions process has been very quick,2873,Efficient Graduate Admissions Process,2018,fun & stress-free,1,,,4.6,belonging & welcomed
82137,11,George Washington University,2021-10-01,Junior,positive,"Campus and City Life: Accessibility, Social Opportunities, and Academic Engagement",14.3,top teachers with real world experience,2697,Positive Academic Environment,2021,value & values,1,,,4.7,belonging & welcomed
82138,11,George Washington University,2021-02-01,Graduate Student,positive,"Campus and City Life: Accessibility, Social Opportunities, and Academic Engagement",14.3,professors were knowledgeable,2730,Positive Academic Environment,2021,value & values,1,,,4.8,belonging & welcomed
87706,11,George Washington University,2011-09-01,College Sophomore,positive,Gym Privacy Concerns,5.3,people watch as you work out,4634,Gym Privacy Concerns,2011,fun & stress-free,1,,,4.9,belonging & welcomed
